# The carbon-metabolism pathways the model made predictions about, significant or not.
# Same job m1z16Qg3DK. "predicted" is what the CFD/FvCB model said before any omics were seen.
db	pathway	features	unique_metabolites	p_gene	p_protein	p_metabolite	p_combined_fisher	predicted	outcome
K	Photosynthesis	72	0	0.10688	0.00944	-	0.00797	down	significant
K	Starch and sucrose metabolism	144	5	0.01213	0.64420	0.06325	0.01857	down	significant
K	Photosynthesis - antenna proteins	21	0	0.81535	0.00396	-	0.02174	down	significant
M	photosynthesis	1724	0	0.97784	0.00586	-	0.03531	down	significant
K	Nitrogen metabolism	30	3	0.02461	0.34569	0.68421	0.11287	not predicted	ns
K	Glycolysis / Gluconeogenesis	111	4	0.48929	0.10926	0.37143	0.25018	not predicted	ns
K	Biosynthesis of amino acids	223	10	0.19576	0.95582	0.39164	0.51505	not predicted	ns
K	Carbon fixation by Calvin cycle	68	2	0.89980	0.35819	0.37143	0.64351	down	NOT significant
M	Plant glycolysis	5272	0	0.98785	0.39162	-	0.75426	not predicted	ns
K	Carbon metabolism	259	13	0.85126	0.77001	1.00000	0.99082	not predicted	ns
K	Glyoxylate and dicarboxylate metabolism	77	12	0.71942	0.96182	1.00000	0.99367	no change	confirmed, ranks last
